"sex","age","month","unemployed"
"total","total 15-74 years","2009M05",9.2
"total","total 15-74 years","2009M06",9.9
"total","total 15-74 years","2009M07",8.0
"total","total 15-74 years","2009M08",8.0
"total","total 15-74 years","2009M09",8.4
"total","total 15-74 years","2009M10",8.3
"total","total 15-74 years","2009M11",8.2
"total","total 15-74 years","2009M12",8.7
"total","total 15-74 years","2010M01",9.7
"total","total 15-74 years","2010M02",9.4
"total","total 15-74 years","2010M03",9.5
"total","total 15-74 years","2010M04",9.9
"total","total 15-74 years","2010M05",9.2
"total","total 15-74 years","2010M06",9.7
"total","total 15-74 years","2010M07",8.3
"total","total 15-74 years","2010M08",7.7
"total","total 15-74 years","2010M09",8.0
"total","total 15-74 years","2010M10",7.8
"total","total 15-74 years","2010M11",7.5
"total","total 15-74 years","2010M12",7.7
"total","total 15-74 years","2011M01",8.5
"total","total 15-74 years","2011M02",8.3
"total","total 15-74 years","2011M03",8.5
"total","total 15-74 years","2011M04",8.3
"total","total 15-74 years","2011M05",8.2
"total","total 15-74 years","2011M06",9.3
"total","total 15-74 years","2011M07",7.3
"total","total 15-74 years","2011M08",7.1
"total","total 15-74 years","2011M09",7.1
"total","total 15-74 years","2011M10",7.3
"total","total 15-74 years","2011M11",7.2
"total","total 15-74 years","2011M12",7.4
"total","total 15-74 years","2012M01",8.5
"total","total 15-74 years","2012M02",8.3
"total","total 15-74 years","2012M03",8.1
"total","total 15-74 years","2012M04",8.1
"total","total 15-74 years","2012M05",8.7
"total","total 15-74 years","2012M06",9.1
"total","total 15-74 years","2012M07",7.5
"total","total 15-74 years","2012M08",7.6
"total","total 15-74 years","2012M09",7.7
"total","total 15-74 years","2012M10",7.6
"total","total 15-74 years","2012M11",7.9
"total","total 15-74 years","2012M12",7.7
"total","total 15-74 years","2013M01",8.5
"total","total 15-74 years","2013M02",8.6
"total","total 15-74 years","2013M03",8.9
